nivel1,nivel2,nivel3,orders_ref,gfv_ref,qty_ref,incent_ref,orders_act,gfv_act,qty_act,incent_act,delta_gfv,share_act_orders_country,share_ref_orders_country,share_act_orders_local,share_ref_orders_local
OVERALL,,,1193724,886879479.2225555,3485516,7610937.622786877,1219124,895120677.2030001,3497248,6602606.588196709,8241197.9804445505,1.0,1.0,1.0,1.0
VERTICAL,Courier,,73149,-45716.94000000001,107550,440.9836065573771,77551,-48437.25000000001,113293,293.44262295081967,-2720.3099999999977,0.0636120689938021,0.0612779838555646,0.0636120689938021,0.0612779838555646
VERTICAL,D-Mart,,191565,194546084.25500003,1408072,2419755.4098360534,184666,188646323.88900006,1365532,2035875.4098360564,-5899760.365999967,0.15147433731105286,0.1604767936306885,0.15147433731105286,0.1604767936306885
VERTICAL,Food,,824736,612667787.8599999,1599001,4704843.114590166,847404,622894851.1600001,1624770,4177709.817704914,10227063.30000019,0.6950925418579242,0.6908933723373242,0.6950925418579242,0.6908933723373242
VERTICAL,Local Stores,,49617,38181564.98,103489,31534.75409836066,49118,37981527.400000006,103184,25654.672131147538,-200037.57999999076,0.04028958498069105,0.041564884345125,0.04028958498069105,0.041564884345125
VERTICAL,Local Stores (Market),,54657,41529759.06755555,267404,454363.3606557378,60385,45646412.00399999,290469,363073.2459016394,4116652.9364444464,0.049531466856529774,0.04578696583129769,0.049531466856529774,0.04578696583129769
SEGMENT,Courier,Courier,73149,-45716.94000000001,107550,440.9836065573771,77551,-48437.25000000001,113293,293.44262295081967,-2720.3099999999977,0.0636120689938021,0.0612779838555646,1.0,1.0
SEGMENT,D-Mart,D-Mart,191565,194546084.25500003,1408072,2419755.4098360534,184666,188646323.88900006,1365532,2035875.4098360564,-5899760.365999967,0.15147433731105286,0.1604767936306885,1.0,1.0
SEGMENT,Food,Food N/D,4214,3112149.9099999997,6248,30231.346065573776,7125,5454169.53,18032,78782.7431147541,2342019.6200000006,0.005844360376795142,0.0035301292426054933,0.008408032060268774,0.005109513832305125
SEGMENT,Food,Global KA,200627,129280210.43999998,333264,1433198.3052459033,200969,128123220.39999992,324457,806950.3585245861,-1156990.0400000662,0.16484705411426565,0.16806816315999343,0.23715842738528495,0.2432620862918558
SEGMENT,Food,Large Chain,60153,43126069.949999996,131047,508080.66344262304,61755,44625185.93,132007,483263.32163934427,1499115.9800000042,0.05065522457108547,0.050391045166219325,0.07287551156237167,0.07293606681410779
SEGMENT,Food,Local Hero,153360,115168047.87,338053,497466.21491803275,206775,155989412.69000006,440408,701183.3036065575,40821364.82000005,0.16960949009288637,0.1284719080792545,0.24400994094906325,0.1859504132231405
SEGMENT,Food,Long Tail,278456,217670694.34,563238,1113776.3459016397,241834,183295908.94000003,480424,1051361.9506557377,-34374785.399999976,0.19836702419114052,0.2332666512527184,0.28538217898428614,0.33763046599154156
SEGMENT,Food,National KA,127926,104310615.35000001,227151,1122090.2390163941,128946,105406953.67000003,229442,1056168.1401639348,1096338.3200000226,0.10576938851175106,0.10716547543653307,0.15216590905872523,0.15511145384704925
SEGMENT,Local Stores,Not AAA,49617,38181564.98,103489,31534.75409836066,49118,37981527.400000006,103184,25654.672131147538,-200037.57999999076,0.04028958498069105,0.041564884345125,1.0,1.0
SEGMENT,Local Stores (Market),AAA,6079,8936377.407555556,72443,63801.72131147542,7167,10222747.054000001,84874,49886.96721311476,1286369.6464444455,0.005878811343226776,0.005092466935405504,0.11868841599735033,0.11122088662019504
SEGMENT,Local Stores (Market),Not AAA,48578,32593381.659999993,194961,390561.63934426237,53218,35423664.94999999,205595,313186.2786885246,2830283.2899999954,0.043652655513302996,0.04069449889589218,0.8813115840026496,0.888779113379805
COCINA,Courier,UNKNOWN,73149,-45716.94000000001,107550,440.9836065573771,77551,-48437.25000000001,113293,293.44262295081967,-2720.3099999999977,0.0636120689938021,0.0612779838555646,1.0,1.0
COCINA,D-Mart,UNKNOWN,191565,194546084.25500003,1408072,2419755.4098360534,184666,188646323.88900006,1365532,2035875.4098360564,-5899760.365999967,0.15147433731105286,0.1604767936306885,1.0,1.0
COCINA,Food,Cafetería,42461,25038014.169999998,106170,67494.22131147543,46861,26952668.5,113975,79789.92032786887,1914654.330000002,0.03843825566554346,0.035570198806424265,0.05529947935105334,0.05148435378108874
COCINA,Food,Carnes,9878,11676148.2,20198,18034.4262295082,10938,12801058.8,22043,21384.426229508197,1124910.6000000015,0.008972015972124247,0.008274944627066223,0.012907656796522084,0.0119771660264618
COCINA,Food,Chivitos,9689,8499956.590000002,15261,28077.2131147541,10822,9626086.809999999,17249,52760.65573770492,1126130.219999997,0.008876865683884494,0.008116616571334747,0.012770768134207532,0.011748001784813564
