nivel1,nivel2,nivel3,orders_ref,gfv_ref,qty_ref,incent_ref,orders_act,gfv_act,qty_act,incent_act,delta_gfv,share_act_orders_country,share_ref_orders_country,share_act_orders_local,share_ref_orders_local,bs_ref,bs_act,afv_ref,afv_act,aiv_ref,aiv_act,incent_ref_pp,incent_act_pp,delta_afv,delta_bs,delta_aiv,delta_share_orders_country,delta_share_orders_local,delta_incent_pp,efecto_bs,efecto_aiv,efecto_share,efecto_mix,contrib_share_overall,contrib_afv_intra,descuadre,contrib_share_local,contrib_afv_intra_local,delta_afv_pct,delta_bs_pct,delta_aiv_pct,delta_share_orders_country_pp,delta_share_orders_local_pp
SEGMENT,Courier,Courier,73149,-45716.94000000001,107550,440.9836065573771,77551,-48437.25000000001,113293,293.44262295081967,-2720.3099999999977,0.0636120689938021,0.0612779838555646,1.0,1.0,1.4702866751425174,1.4608838054957383,-0.6249838001886562,-0.624585756469936,-0.4250761506276151,-0.42753965381797643,0.0060285664405169866,0.003783866396962253,0.00039804371872020905,-0.009402869646779166,-0.002463503190361316,0.0023340851382375044,0.0,-0.0022447000435547337,0.003996935634306131,-0.003598891915585931,0.0,9.107298248878237e-18,0.0,0.0,0.0,-0.0,0.00039804371872020905,-0.06,-0.64,0.58,0.23,0.0
SEGMENT,D-Mart,D-Mart,191565,194546084.25500003,1408072,2419755.4098360534,184666,188646323.88900006,1365532,2035875.4098360564,-5899760.365999967,0.15147433731105286,0.1604767936306885,1.0,1.0,7.35036149609793,7.394604312650948,1015.5617375564431,1021.5541782948678,138.1648695911857,138.14859255513608,12.631511026732719,11.024635882274248,5.9924407384247615,0.04424281655301776,-0.01627703604961539,-0.009002456319635643,0.0,-1.6068751444584706,6.11280297939445,-0.12036224096966092,0.0,-2.781108676686017e-14,0.0,0.0,0.0,0.0,5.9924407384247615,0.59,0.6,-0.01,-0.9,0.0
SEGMENT,Food,Food N/D,4214,3112149.9099999997,6248,30231.346065573776,7125,5454169.53,18032,78782.7431147541,2342019.6200000006,0.005844360376795142,0.0035301292426054933,0.008408032060268774,0.005109513832305125,1.4826767916468913,2.5308070175438595,738.5263194114855,765.4974778947369,498.10337868117796,302.47169088287495,7.174026119025576,11.057227103825138,26.97115848325143,1.0481302258969682,-195.631687798303,0.0023142311341896485,0.0032985182279636482,3.8832009847995623,522.0772068171461,-495.1060483338947,0.0,0.0,0.0,0.0,0.0,2.4360425264096883,0.22677436522976813,3.65,70.69,-39.28,0.23,0.33
SEGMENT,Food,Global KA,200627,129280210.43999998,333264,1433198.3052459033,200969,128123220.39999992,324457,806950.3585245861,-1156990.0400000662,0.16484705411426565,0.16806816315999343,0.23715842738528495,0.2432620862918558,1.6611124125865413,1.6144629271181128,644.380918022001,637.5272823171729,387.92131895434244,394.8850553386116,7.14359635166704,4.015297675385686,-6.853635704828093,-0.04664948546842851,6.963736384269168,-0.0032211090457277824,-0.006103658906570858,-3.1282986762813536,-18.096329931454218,11.242694226626105,0.0,1.9539925233402755e-14,0.0,0.0,0.0,-3.933081329509292,-1.6253974656286696,-1.06,-2.81,1.8,-0.32,-0.61
SEGMENT,Food,Large Chain,60153,43126069.949999996,131047,508080.66344262304,61755,44625185.93,132007,483263.32163934427,1499115.9800000042,0.05065522457108547,0.050391045166219325,0.07287551156237167,0.07293606681410779,2.178561335261749,2.137592097805846,716.9396364271108,722.6165643267751,329.08857089441193,338.051663396638,8.446472552368512,7.825493023064436,5.6769278996642925,-0.04096923745590342,8.963092502226061,0.0002641794048661439,-6.055525173612186e-05,-0.6209795293040754,-13.482507804997068,19.159435704661252,0.0,1.1013412404281553e-13,0.0,0.0,1.7763568394002505e-15,-0.04341446016344738,0.41370902479073546,0.79,-1.88,2.72,0.03,-0.01
SEGMENT,Food,Local Hero,153360,115168047.87,338053,497466.21491803275,206775,155989412.69000006,440408,701183.3036065575,40821364.82000005,0.16960949009288637,0.1284719080792545,0.24400994094906325,0.1859504132231405,2.204310119979134,2.1298899770281707,750.9653616979656,754.3920333212432,340.6804491307576,354.19295900619437,3.2437807441186277,3.3910448729612264,3.4266716232775707,-0.07442014295096344,13.512509875436763,0.04113758201363188,0.058059527725922766,0.14726412884259865,-25.35348772490941,28.780159348186938,0.0,4.263256414560601e-14,0.0,0.0,0.0,43.60069423871065,0.8361419404477908,0.46,-3.38,3.97,4.11,5.81
SEGMENT,Food,Long Tail,278456,217670694.34,563238,1113776.3459016397,241834,183295908.94000003,480424,1051361.9506557377,-34374785.399999976,0.19836702419114052,0.2332666512527184,0.28538217898428614,0.33763046599154156,2.0227181314103486,1.9865858398736322,781.7058865314449,757.9410212790593,386.46308370528976,381.5294592693122,3.999828863093773,4.347453007665331,-23.76486525238556,-0.03613229153671638,-4.933624435977549,-0.03489962706157787,-0.05224828700725542,0.34762414457155844,-13.963796808617953,-9.801068443767535,0.0,-7.283063041541027e-14,0.0,0.0,0.0,-40.842793514755975,-6.782069028993739,-3.04,-1.79,-1.28,-3.49,-5.22
SEGMENT,Food,National KA,127926,104310615.35000001,227151,1122090.2390163941,128946,105406953.67000003,229442,1056168.1401639348,1096338.3200000226,0.10576938851175106,0.10716547543653307,0.15216590905872523,0.15511145384704925,1.7756437315322922,1.779365005506181,815.3980844394416,817.4503565058244,459.2126618416824,459.40566099493566,8.77140095849471,8.190778621779154,2.052272066382784,0.0037212739738887723,0.192999153253254,-0.0013960869247820057,-0.0029455447883240116,-0.580622336715555,1.7088561269916385,0.34341593939116455,0.0,-1.8984813721090177e-14,0.0,0.0,0.0,-2.4017915780299797,0.31228584461696485,0.25,0.21,0.04,-0.14,-0.29
SEGMENT,Local Stores,Not AAA,49617,38181564.98,103489,31534.75409836066,49118,37981527.400000006,103184,25654.672131147538,-200037.57999999076,0.04028958498069105,0.041564884345125,1.0,1.0,2.0857568978374346,2.100737000692211,769.5258677469415,773.2710493098255,368.94322082540174,368.09512521321136,0.6355634983646867,0.5223069369914805,3.7451815628839995,0.014980102854776245,-0.8480956121903773,-0.0012752993644339489,0.0,-0.11325656137320628,5.5268073955369434,-1.7816258326530376,0.0,9.370282327836321e-14,0.0,0.0,0.0,0.0,3.7451815628839995,0.49,0.72,-0.23,-0.13,0.0
SEGMENT,Local Stores (Market),AAA,6079,8936377.407555556,72443,63801.72131147542,7167,10222747.054000001,84874,49886.96721311476,1286369.6464444455,0.005878811343226776,0.005092466935405504,0.11868841599735033,0.11122088662019504,11.916927126172068,11.842332914748152,1470.0406987260333,1426.363479000977,123.35736244434322,120.44615611376865,10.49543038517444,6.960648418182609,-43.677219725056375,-0.07459421142391598,-2.911206330574572,0.000786344407821272,0.007467529377155294,-3.5347819669918312,-9.201745174869972,-34.47547455018644,0.0,3.552713678800501e-14,0.0,0.0,0.0,10.977572103350548,-5.183980024335167,-2.97,-0.63,-2.36,0.08,0.75
SEGMENT,Local Stores (Market),Not AAA,48578,32593381.659999993,194961,390561.63934426237,53218,35423664.94999999,205595,313186.2786885246,2830283.2899999954,0.043652655513302996,0.04069449889589218,0.8813115840026496,0.888779113379805,4.013359957182264,3.8632605509414106,670.9494351352463,665.6331494982899,167.17898277091314,172.29828035701254,8.03988717823423,5.884968970809211,-5.316285636956422,-0.15009940624085294,5.119297586099407,0.0029581566174108134,-0.007467529377155335,-2.154918207425018,-25.093466049863846,19.777180412907427,0.0,-3.552713678800501e-15,0.0,0.0,0.0,-5.01033461745823,-4.6853041157166,-0.79,-3.74,3.06,0.3,-0.75
